dataset,pred_len,historical_mse,timemixerpp_mse,claimed_win,direct_table_source,secondary_source,run_artifact_or_script,artifact_note
ETTh1,96,0.360641,0.361,1,scripts/diagnose_etth2_gap.py:17,server_results/etth2_gap_diagnosis.json:35-40,server_results/timemixerpp/etth1_96_diagnostic_summary.csv:6-7,"Exact value is present in diagnostic CSV artifacts and reproduced again as 0.3609758317 on 2026-07-23."
ETTh1,192,0.415586,0.416,1,scripts/diagnose_etth2_gap.py:17,server_results/etth2_gap_diagnosis.json:45,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTh1.sh:3,"Exact value is present in diagnostic table/json. Current script comment stores rounded 0.415."
ETTh1,336,0.429443,0.430,1,scripts/diagnose_etth2_gap.py:17,server_results/etth2_gap_diagnosis.json:55,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTh1.sh:3,"Exact value is present in diagnostic table/json. Current same-config rerun was 0.4308067858, not a win."
ETTh1,720,0.462989,0.467,1,scripts/diagnose_etth2_gap.py:17,server_results/etth2_gap_diagnosis.json:65,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTh1.sh:3,"Exact value is present in diagnostic table/json. Current same-config rerun was 0.4919734299, not reproduced."
ETTm1,96,0.299,0.310,1,scripts/diagnose_etth2_gap.py:19,server_results/etth2_gap_diagnosis.json:175,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTm1.sh:3,"Historical rounded value is supported by script comments; current rerun was 0.2998145223."
ETTm1,192,0.335,0.348,1,scripts/diagnose_etth2_gap.py:19,server_results/etth2_gap_diagnosis.json:185,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTm1.sh:3,"Historical rounded value is in diagnostic table/json. Current rerun was 0.3349519968."
ETTm1,336,0.365,0.376,1,scripts/diagnose_etth2_gap.py:19,server_results/etth2_gap_diagnosis.json:195,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTm1.sh:3,"Historical rounded value is in diagnostic table/json. Current same-config rerun was 0.3788603246, not a win."
ETTm1,720,0.421,0.440,1,scripts/diagnose_etth2_gap.py:19,server_results/etth2_gap_diagnosis.json:205,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTm1.sh:3,"Historical rounded value is in diagnostic table/json. Current rerun was 0.4261966348."
ETTm2,96,0.168277,0.170,1,scripts/diagnose_etth2_gap.py:20,server_results/etth2_gap_diagnosis.json:245,scripts/timemixerpp/current_results.csv:30,"Exact historical value matches current rerun 0.1682772189."
ETTm2,192,0.225283,0.229,1,scripts/diagnose_etth2_gap.py:20,server_results/etth2_gap_diagnosis.json:255,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTm2.sh:3,"Exact value is present in diagnostic table/json. Current same-config rerun was 0.2306103408, not a win."
ETTm2,336,0.291013,0.303,1,scripts/diagnose_etth2_gap.py:20,server_results/etth2_gap_diagnosis.json:265,scripts/timemixerpp/current_results.csv:32,"Historical diagnostic value is 0.291013; current rerun produced an even better 0.2876114547."
ETTm2,720,0.371113,0.373,1,scripts/diagnose_etth2_gap.py:20,server_results/etth2_gap_diagnosis.json:275,Time-Series-Library-main/scripts/long_term_forecast/ETT_script/CANPatchTST_ETTm2.sh:3,"Exact value is present in diagnostic table/json. Current same-config rerun was 0.3807986677, not a win."
